Node [0]: value [-633], final index [73]
Node [1]: value [-307], final index [147]
Node [2]: value [436], final index [339]
Node [3]: value [341], final index [307]
Node [4]: value [-910], final index [22]
Node [5]: value [777], final index [424]
Node [6]: value [-191], final index [172]
Node [7]: value [782], final index [426]
Node [8]: value [-554], final index [94]
Node [9]: value [893], final index [462]
Node [10]: value [-955], final index [12]
Node [11]: value [-491], final index [105]
Node [12]: value [824], final index [440]
Node [13]: value [990], final index [495]
Node [14]: value [920], final index [468]
Node [15]: value [658], final index [399]
Node [16]: value [584], final index [377]
Node [17]: value [615], final index [386]
Node [18]: value [630], final index [391]
Node [19]: value [270], final index [281]
Node [20]: value [-47], final index [209]
Node [21]: value [-843], final index [32]
Node [22]: value [161], final index [250]
Node [23]: value [265], final index [278]
Node [24]: value [-842], final index [33]
Node [25]: value [-867], final index [25]
Node [26]: value [318], final index [296]
Node [27]: value [-945], final index [15]
Node [28]: value [311], final index [294]
Node [29]: value [730], final index [416]
Node [30]: value [249], final index [274]
Node [31]: value [-434], final index [117]
Node [32]: value [428], final index [335]
Node [33]: value [-84], final index [199]
Node [34]: value [345], final index [309]
Node [35]: value [-681], final index [61]
Node [36]: value [-408], final index [124]
Node [37]: value [42], final index [229]
Node [38]: value [180], final index [259]
Node [39]: value [-431], final index [119]
Node [40]: value [-201], final index [169]
Node [41]: value [-585], final index [87]
Node [42]: value [976], final index [493]
Node [43]: value [-623], final index [75]
Node [44]: value [-223], final index [162]
Node [45]: value [972], final index [491]
Node [46]: value [96], final index [239]
Node [47]: value [281], final index [285]
Node [48]: value [-964], final index [10]
Node [49]: value [-652], final index [67]
Node [50]: value [163], final index [252]
Node [51]: value [627], final index [390]
Node [52]: value [742], final index [418]
Node [53]: value [676], final index [403]
Node [54]: value [-14], final index [218]
Node [55]: value [-984], final index [8]
Node [56]: value [942], final index [480]
Node [57]: value [207], final index [265]
Node [58]: value [563], final index [372]
Node [59]: value [-55], final index [208]
Node [60]: value [644], final index [395]
Node [61]: value [840], final index [444]
Node [62]: value [632], final index [392]
Node [63]: value [-584], final index [88]
Node [64]: value [-592], final index [86]
Node [65]: value [-19], final index [215]
Node [66]: value [338], final index [306]
Node [67]: value [80], final index [237]
Node [68]: value [509], final index [360]
Node [69]: value [571], final index [373]
Node [70]: value [953], final index [485]
Node [71]: value [877], final index [455]
Node [72]: value [-367], final index [133]
Node [73]: value [-463], final index [113]
Node [74]: value [-203], final index [168]
Node [75]: value [418], final index [328]
Node [76]: value [-447], final index [114]
Node [77]: value [542], final index [369]
Node [78]: value [922], final index [470]
Node [79]: value [334], final index [305]
Node [80]: value [-617], final index [77]
Node [81]: value [399], final index [323]
Node [82]: value [-427], final index [121]
Node [83]: value [-619], final index [76]
Node [84]: value [594], final index [379]
Node [85]: value [997], final index [497]
Node [86]: value [-313], final index [145]
Node [87]: value [-58], final index [207]
Node [88]: value [-136], final index [186]
Node [89]: value [267], final index [279]
Node [90]: value [-597], final index [84]
Node [91]: value [481], final index [353]
Node [92]: value [798], final index [434]
Node [93]: value [752], final index [420]
Node [94]: value [706], final index [412]
Node [95]: value [-580], final index [89]
Node [96]: value [379], final index [317]
Node [97]: value [162], final index [251]
Node [98]: value [944], final index [482]
Node [99]: value [721], final index [415]
Node [100]: value [-710], final index [55]
Node [101]: value [363], final index [312]
Node [102]: value [-723], final index [52]
Node [103]: value [5], final index [221]
Node [104]: value [651], final index [397]
Node [105]: value [885], final index [458]
Node [106]: value [863], final index [452]
Node [107]: value [-361], final index [134]
Node [108]: value [693], final index [408]
Node [109]: value [452], final index [343]
Node [110]: value [-309], final index [146]
Node [111]: value [803], final index [436]
Node [112]: value [-277], final index [151]
Node [113]: value [-16], final index [217]
Node [114]: value [930], final index [475]
Node [115]: value [465], final index [346]
Node [116]: value [696], final index [410]
Node [117]: value [-218], final index [165]
Node [118]: value [218], final index [267]
Node [119]: value [-611], final index [80]
Node [120]: value [401], final index [324]
Node [121]: value [-417], final index [122]
Node [122]: value [-148], final index [183]
Node [123]: value [-261], final index [159]
Node [124]: value [833], final index [442]
Node [125]: value [585], final index [378]
Node [126]: value [-747], final index [49]
Node [127]: value [864], final index [453]
Node [128]: value [491], final index [356]
Node [129]: value [442], final index [341]
Node [130]: value [562], final index [371]
Node [131]: value [789], final index [431]
Node [132]: value [-668], final index [64]
Node [133]: value [275], final index [283]
Node [134]: value [-782], final index [42]
Node [135]: value [-689], final index [60]
Node [136]: value [-697], final index [57]
Node [137]: value [515], final index [364]
Node [138]: value [257], final index [275]
Node [139]: value [826], final index [441]
Node [140]: value [328], final index [302]
Node [141]: value [520], final index [365]
Node [142]: value [-507], final index [102]
Node [143]: value [68], final index [233]
Node [144]: value [597], final index [380]
Node [145]: value [-865], final index [26]
Node [146]: value [1000], final index [499]
Node [147]: value [-181], final index [176]
Node [148]: value [-343], final index [139]
Node [149]: value [844], final index [446]
Node [150]: value [302], final index [291]
Node [151]: value [-244], final index [161]
Node [152]: value [-76], final index [202]
Node [153]: value [169], final index [255]
Node [154]: value [974], final index [492]
Node [155]: value [-608], final index [81]
Node [156]: value [-182], final index [175]
Node [157]: value [288], final index [287]
Node [158]: value [-44], final index [210]
Node [159]: value [476], final index [350]
Node [160]: value [675], final index [402]
Node [161]: value [-100], final index [197]
Node [162]: value [-357], final index [135]
Node [163]: value [-180], final index [177]
Node [164]: value [24], final index [226]
Node [165]: value [85], final index [238]
Node [166]: value [-985], final index [7]
Node [167]: value [29], final index [227]
Node [168]: value [-941], final index [16]
Node [169]: value [472], final index [348]
Node [170]: value [-976], final index [9]
Node [171]: value [-838], final index [34]
Node [172]: value [-778], final index [44]
Node [173]: value [847], final index [448]
Node [174]: value [-175], final index [179]
Node [175]: value [-141], final index [184]
Node [176]: value [427], final index [334]
Node [177]: value [431], final index [337]
Node [178]: value [500], final index [358]
Node [179]: value [861], final index [451]
Node [180]: value [887], final index [459]
Node [181]: value [-262], final index [158]
Node [182]: value [-167], final index [180]
Node [183]: value [195], final index [262]
Node [184]: value [906], final index [465]
Node [185]: value [-314], final index [144]
Node [186]: value [991], final index [496]
Node [187]: value [662], final index [400]
Node [188]: value [-130], final index [187]
Node [189]: value [-345], final index [138]
Node [190]: value [-97], final index [198]
Node [191]: value [333], final index [304]
Node [192]: value [-559], final index [92]
Node [193]: value [-446], final index [115]
Node [194]: value [364], final index [313]
Node [195]: value [-998], final index [2]
Node [196]: value [-139], final index [185]
Node [197]: value [317], final index [295]
Node [198]: value [223], final index [269]
Node [199]: value [637], final index [393]
Node [200]: value [-935], final index [17]
Node [201]: value [775], final index [423]
Node [202]: value [-383], final index [129]
Node [203]: value [-695], final index [59]
Node [204]: value [290], final index [288]
Node [205]: value [-674], final index [62]
Node [206]: value [327], final index [301]
Node [207]: value [666], final index [401]
Node [208]: value [-550], final index [95]
Node [209]: value [916], final index [466]
Node [210]: value [-814], final index [40]
Node [211]: value [-571], final index [91]
Node [212]: value [493], final index [357]
Node [213]: value [439], final index [340]
Node [214]: value [408], final index [326]
Node [215]: value [-429], final index [120]
Node [216]: value [55], final index [232]
Node [217]: value [-860], final index [28]
Node [218]: value [32], final index [228]
Node [219]: value [600], final index [381]
Node [220]: value [-642], final index [72]
Node [221]: value [-864], final index [27]
